nodule_id,motivo
LIDC-IDRI-0002_N00,leitores_insuficientes
LIDC-IDRI-0003_N00,leitores_insuficientes
LIDC-IDRI-0005_N02,leitores_insuficientes
LIDC-IDRI-0006_N00,leitores_insuficientes
LIDC-IDRI-0006_N01,leitores_insuficientes
LIDC-IDRI-0006_N02,leitores_insuficientes
LIDC-IDRI-0007_N01,leitores_insuficientes
LIDC-IDRI-0009_N00,leitores_insuficientes
LIDC-IDRI-0009_N01,leitores_insuficientes
LIDC-IDRI-0010_N00,leitores_insuficientes
LIDC-IDRI-0010_N01,leitores_insuficientes
LIDC-IDRI-0011_N01,leitores_insuficientes
LIDC-IDRI-0011_N02,leitores_insuficientes
LIDC-IDRI-0011_N03,leitores_insuficientes
LIDC-IDRI-0011_N04,leitores_insuficientes
LIDC-IDRI-0011_N06,leitores_insuficientes
LIDC-IDRI-0011_N07,leitores_insuficientes
LIDC-IDRI-0011_N08,leitores_insuficientes
LIDC-IDRI-0012_N04,leitores_insuficientes
LIDC-IDRI-0012_N07,leitores_insuficientes
LIDC-IDRI-0012_N11,leitores_insuficientes
LIDC-IDRI-0013_N00,leitores_insuficientes
LIDC-IDRI-0016_N02,leitores_insuficientes
LIDC-IDRI-0019_N00,leitores_insuficientes
LIDC-IDRI-0020_N00,leitores_insuficientes
LIDC-IDRI-0021_N00,leitores_insuficientes
LIDC-IDRI-0021_N01,leitores_insuficientes
LIDC-IDRI-0022_N00,leitores_insuficientes
LIDC-IDRI-0024_N03,leitores_insuficientes
LIDC-IDRI-0025_N00,leitores_insuficientes
